,month_normalized,time_idx,value,static,date
507,10,8,245.38,2,2014-05-23
508,10,9,242.18,2,2014-05-24
509,10,10,244.45,2,2014-05-25
510,10,11,244.74,2,2014-05-26
511,10,12,245.66,2,2014-05-27
512,10,13,243.76,2,2014-05-28
513,10,14,243.65,2,2014-05-29
514,10,15,251.0,2,2014-05-30
515,10,16,247.79,2,2014-05-31
516,10,17,246.49,2,2014-06-01
517,10,18,247.44,2,2014-06-02
518,10,19,252.03,2,2014-06-03
519,10,20,250.57,2,2014-06-04
520,10,21,248.12,2,2014-06-05
521,10,22,245.62,2,2014-06-06
522,10,23,245.94,2,2014-06-07
523,10,24,246.07,2,2014-06-08
524,10,25,245.47,2,2014-06-09
525,10,26,245.74,2,2014-06-10
526,10,27,249.17,2,2014-06-11
527,10,28,244.58,2,2014-06-12
528,10,29,250.31,2,2014-06-13
529,10,30,243.32,2,2014-06-14
530,10,31,247.21,2,2014-06-15
531,10,32,244.91,2,2014-06-16
532,10,33,244.39,2,2014-06-17
533,10,34,250.88,2,2014-06-18
534,10,35,251.11,2,2014-06-19
535,10,36,243.92,2,2014-06-20
536,10,37,249.16,2,2014-06-21
537,10,38,245.35,2,2014-06-22
538,10,39,245.06,2,2014-06-23
539,10,40,253.03,2,2014-06-24
540,10,41,246.94,2,2014-06-25
541,10,42,246.36,2,2014-06-26
542,10,43,246.4,2,2014-06-27
543,10,44,256.86,2,2014-06-28
544,10,45,255.06,2,2014-06-29
545,10,46,248.17,2,2014-06-30
546,10,47,245.04,2,2014-07-01
547,10,48,243.98,2,2014-07-02
548,10,49,250.4,2,2014-07-03
549,10,50,251.15,2,2014-07-04
550,10,51,250.14,2,2014-07-05
551,10,52,249.38,2,2014-07-06
552,10,53,243.78,2,2014-07-07
553,10,54,248.53,2,2014-07-08
554,11,0,251.35,2,2014-07-09
555,11,1,249.04,2,2014-07-10
556,11,2,253.05,2,2014-07-11
557,11,3,253.58,2,2014-07-12
558,11,4,245.91,2,2014-07-13
559,11,5,248.31,2,2014-07-14
560,11,6,252.42,2,2014-07-15
561,11,7,250.04,2,2014-07-16
562,11,8,252.52,2,2014-07-17
563,11,9,251.94,2,2014-07-18
564,11,10,253.77,2,2014-07-19
565,11,11,248.23,2,2014-07-20
566,11,12,249.98,2,2014-07-21
567,11,13,253.91,2,2014-07-22
568,11,14,250.64,2,2014-07-23
569,11,15,246.68,2,2014-07-24
570,11,16,253.96,2,2014-07-25
571,11,17,254.7,2,2014-07-26
572,11,18,253.7,2,2014-07-27
573,11,19,255.38,2,2014-07-28
574,11,20,254.02,2,2014-07-29
575,11,21,263.18,2,2014-07-30
576,11,22,252.77,2,2014-07-31
577,11,23,253.91,2,2014-08-01
578,11,24,262.03,2,2014-08-02
579,11,25,255.26,2,2014-08-03
580,11,26,259.95,2,2014-08-04
581,11,27,252.11,2,2014-08-05
582,11,28,251.48,2,2014-08-06
583,11,29,258.69,2,2014-08-07
584,11,30,263.22,2,2014-08-08
585,11,31,263.51,2,2014-08-09
586,11,32,256.8,2,2014-08-10
587,11,33,253.45,2,2014-08-11
588,11,34,251.71,2,2014-08-12
589,11,35,259.88,2,2014-08-13
590,11,36,263.31,2,2014-08-14
591,11,37,264.63,2,2014-08-15
592,11,38,260.23,2,2014-08-16
593,11,39,259.07,2,2014-08-17
594,11,40,265.67,2,2014-08-18
595,11,41,256.05,2,2014-08-19
